Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Prog,Dribbles_Succ,Dribbles_Att,PlayerID,NationID,SquadID,MatchID,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,xA,KP,1/3,PPA,CrsPA,Prog,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Jade Le Guilly,12,fr FRA,RB,20-136,90,0,0,0,0,2,0,0,0,61,2,0,1,0.2,0.2,0.0,1,0,28,47,3,0,1,937e27c5,FRA,c21f25d3,b39cbf7b,28,47,509,255,14,21,13,20,1,3,0.0,0,2,0,0,3,47,33,14,1,0,0,2,13,0,0,0,0,28,0,3,2,1,0,2,0,1,1,0,1,1,0,2,2,0,61,2,16,29,16,2,61,3,1,26,2,0,1,2,0,2,1,0,0,0,9,0,1
Adriana Nanclares,1,es ESP,GK,20-176,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,24,36,0,0,0,16417575,ESP,c21f25d3,b39cbf7b,24,36,642,560,6,6,8,9,9,20,0.0,0,0,0,0,0,36,22,14,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,38,0,0,0,38,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0
Jassina Blom,10,be BEL,FW,28-059,56,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,8,15,3,0,1,c87ba39a,BEL,4c088abe,8b892b0c,8,15,146,60,3,6,4,8,1,1,0.1,1,2,2,0,3,15,14,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,0,2,11,9,1,21,3,1,14,2,0,2,1,0,0,0,0,0,0,1,1,2
Sydny Nasello,2,,LW,22-201,34,0,0,0,0,2,0,1,0,13,1,0,0,0.1,0.1,0.0,1,0,6,9,0,0,0,6786e185,,4c088abe,8b892b0c,6,9,110,15,1,1,5,7,0,0,0.0,1,0,0,0,0,9,7,2,0,0,0,0,1,0,0,0,0,6,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,3,11,2,13,2,1,5,0,0,2,0,0,0,1,0,0,0,0,0,0
María José Pérez,17,es ESP,"LW,FW",38-227,90,0,0,0,0,1,1,0,0,46,0,1,1,0.0,0.0,0.0,3,0,25,33,4,3,8,b7afea5e,ESP,4c088abe,8b892b0c,25,33,559,163,8,11,9,9,7,11,0.1,1,5,3,0,4,33,33,0,0,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,46,1,11,14,21,4,46,1,3,32,6,0,0,4,0,2,0,0,0,0,6,0,3
Ange N'Guessan,8,ci CIV,RW,31-348,90,0,0,0,0,1,1,0,0,26,0,1,0,0.0,0.0,0.0,3,0,11,16,3,1,2,d8e8aa5e,CIV,4c088abe,8b892b0c,11,16,183,66,5,7,5,7,1,1,0.0,1,0,0,0,3,16,15,1,0,0,0,3,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,26,1,1,9,16,2,26,2,3,15,4,0,1,1,1,3,0,0,0,0,3,0,0
Sandra Hernández,15,es ESP,LM,25-160,83,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.1,2,0,24,34,1,0,0,18e5d67b,ESP,4c088abe,8b892b0c,24,34,488,156,10,13,10,13,4,7,0.1,1,4,1,1,1,34,33,1,1,0,0,2,0,0,0,0,0,24,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,36,0,10,19,7,0,36,1,1,29,2,0,0,2,0,2,0,0,0,0,5,2,2
Silvia Doblado,21,es ESP,"LM,RB",35-224,7,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,2,0,6,8,0,0,0,00bdb60c,ESP,4c088abe,8b892b0c,6,8,167,20,0,0,3,4,3,4,0.0,1,2,0,0,0,8,7,1,0,0,0,0,0,1,0,0,0,6,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,8,0,3,3,2,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0
Natalia Ramos,14,es ESP,CM,23-264,83,0,0,0,0,0,0,1,0,47,0,1,3,0.0,0.0,0.0,1,0,23,38,2,0,0,454771bc,ESP,4c088abe,8b892b0c,23,38,552,177,8,16,8,11,7,11,0.0,1,2,1,0,2,38,37,1,1,0,0,1,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,3,0,3,1,2,0,47,1,24,20,3,0,47,0,0,23,0,0,2,2,0,1,0,0,0,0,5,6,9
Claire Falknor,12,us USA,CM,29-173,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,0,0,0,e56b66f7,USA,4c088abe,8b892b0c,5,6,117,31,1,1,3,4,1,1,0.0,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Paola Hernández,6,,RM,20-099,57,0,0,0,0,1,0,0,0,31,0,2,2,0.0,0.0,0.1,3,0,17,23,3,3,3,29ce678a,,4c088abe,8b892b0c,17,23,350,120,8,14,6,6,3,3,0.4,1,1,1,0,3,23,21,2,0,1,0,2,0,2,1,1,0,17,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,31,0,4,16,11,0,31,1,0,17,1,0,0,0,0,2,0,0,0,0,4,1,0
Sara López,28,,"CB,RB",20-289,33,0,0,0,0,0,0,0,0,23,3,1,2,0.0,0.0,0.0,0,0,5,15,0,0,0,7ea14a04,,4c088abe,8b892b0c,5,15,98,58,1,1,4,5,0,9,0.0,0,0,0,0,0,15,14,1,0,0,0,0,1,0,0,0,0,5,0,0,3,3,3,0,0,1,1,0,2,1,1,4,2,0,23,2,14,10,0,0,23,0,0,7,0,0,0,0,0,0,3,0,0,0,5,0,0
Raquel Peña,23,es ESP,LB,33-316,90,0,0,0,0,2,1,0,0,93,3,2,0,0.0,0.0,0.1,3,0,47,89,2,1,3,67d43354,ESP,4c088abe,8b892b0c,47,89,1060,553,16,21,21,36,10,27,0.1,2,1,2,1,2,89,55,34,3,0,0,14,25,6,2,4,0,47,0,5,3,1,3,0,0,2,2,0,0,0,0,5,2,0,93,3,37,23,34,1,93,1,0,39,2,0,0,1,0,14,1,0,0,0,10,0,0
Patricia Gavira,22,,CB,33-189,90,0,0,0,0,1,0,0,0,53,0,1,0,0.0,0.0,0.0,1,0,35,38,3,0,0,1063bc16,,4c088abe,8b892b0c,35,38,890,551,6,6,20,22,9,10,0.0,0,3,1,0,3,38,32,6,5,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,53,13,38,12,3,2,53,2,1,22,0,0,0,0,0,0,0,0,0,0,5,1,2
Andrea Marrero,4,,CB,26-026,68,0,0,0,0,1,0,0,0,28,0,0,1,0.1,0.1,0.0,0,0,16,22,0,0,0,d425eb3b,,4c088abe,8b892b0c,16,22,318,102,3,4,13,16,0,2,0.0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,28,9,21,5,3,2,28,0,0,15,0,0,0,0,0,0,0,0,0,0,1,2,0
Laura Ortega,9,,"RM,LM",24-356,22,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,0,0,0,583ad7f6,,4c088abe,8b892b0c,2,4,20,0,2,3,0,0,0,0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,0,7,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1
María Estella,20,,"RB,RM",28-144,90,0,0,0,0,3,1,0,0,71,2,0,2,0.3,0.3,0.0,3,0,30,58,1,0,0,55cc92c7,,4c088abe,8b892b0c,30,58,742,526,7,9,14,25,9,23,0.0,0,2,1,1,1,58,34,23,1,0,0,7,22,0,0,0,0,30,1,1,2,2,2,0,0,2,2,0,2,0,2,2,3,0,71,3,27,23,21,4,71,0,0,30,3,0,0,2,0,7,2,0,0,1,2,0,0
