Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Prog,Dribbles_Succ,Dribbles_Att,PlayerID,NationID,SquadID,MatchID,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,xA,KP,1/3,PPA,CrsPA,Prog,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Leles,20,,DM,25-208,25,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,1,0,13,15,3,0,0,3204f0a1,,74142337,ddc9ce5c,13,15,279,132,4,4,7,8,2,3,0.0,0,2,0,0,3,15,14,1,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,22,1,7,14,1,0,22,1,0,8,0,0,1,0,0,0,0,0,0,0,3,0,0
Paula Perea,21,,LB,26-091,57,0,1,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.1,1,1,20,34,2,0,1,06776ec6,,74142337,ddc9ce5c,20,34,417,250,4,8,15,19,1,7,0.2,1,3,2,1,2,34,23,11,0,0,0,2,11,0,0,0,0,20,0,1,2,1,2,0,0,1,1,0,0,0,0,3,1,0,41,1,22,13,6,0,41,0,0,17,2,0,3,0,0,2,1,0,0,0,3,1,1
Quiles,16,,LB,22-282,33,0,0,0,0,1,1,0,0,21,0,0,1,0.0,0.0,0.0,2,0,14,17,0,0,1,ead3c3e2,,74142337,ddc9ce5c,14,17,186,62,9,11,5,5,0,1,0.0,0,0,0,0,0,17,10,7,2,0,0,1,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,0,1,6,14,0,21,0,0,11,1,0,0,1,0,1,0,0,0,0,0,0,0
Dorine Chuigoué,19,gq EQG,CB,33-294,90,0,0,0,0,1,0,0,0,47,0,3,1,0.1,0.1,0.0,0,0,34,41,1,0,0,cdc7ad08,EQG,74142337,ddc9ce5c,34,41,783,273,7,7,21,24,6,9,0.0,0,2,0,0,1,41,40,1,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,0,47,3,33,13,2,1,47,0,0,30,0,0,0,1,0,0,0,0,0,0,6,0,1
Jennifer Velazquez,27,,CB,18-045,90,0,0,0,0,0,0,0,0,58,1,2,1,0.0,0.0,0.0,0,0,42,52,1,0,0,82cda6fe,,74142337,ddc9ce5c,42,52,911,333,11,12,23,28,8,12,0.0,0,1,0,0,1,52,45,7,6,0,0,0,1,0,0,0,0,42,0,0,1,1,1,0,0,0,1,1,1,0,1,3,1,0,58,2,42,15,2,1,58,1,1,31,0,0,1,1,0,0,1,0,1,0,11,0,0
Lucía Marte,14,do DOM,RB,25-035,90,0,0,0,0,0,0,0,0,53,1,0,0,0.0,0.0,0.0,1,0,28,48,3,0,3,be71f47a,DOM,74142337,ddc9ce5c,28,48,446,204,17,24,10,18,1,6,0.0,0,3,1,0,3,48,42,6,1,0,0,1,5,0,0,0,0,28,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,53,0,18,23,13,0,53,2,1,38,5,0,1,2,0,1,0,0,0,0,4,0,1
Gaëlle Thalmann,1,ch SUI,GK,36-243,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,33,50,0,0,0,e1b3ae76,SUI,74142337,ddc9ce5c,33,50,828,572,6,6,15,15,11,28,0.0,0,0,0,0,0,50,36,14,8,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,35,50,1,0,0,51,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0
Mari Paz Vilas,10,es ESP,"FW,LM",34-229,80,2,0,1,1,2,1,0,0,26,0,0,1,1.1,0.4,0.0,1,1,10,19,1,0,1,b876a4b2,ESP,753b93a5,ddc9ce5c,10,19,220,72,3,5,5,9,2,4,0.0,0,1,0,0,1,19,17,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,26,2,4,14,8,3,25,1,1,18,3,0,2,3,2,0,0,1,0,0,4,1,0
Laia Parera,2,,LM,21-009,10,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,1f5790d3,,753b93a5,ddc9ce5c,1,1,6,6,1,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,2,2,0,0,0,0,2,0,0,4,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Irina Uribe,7,,LW,24-051,90,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,0,0,6,11,0,2,6,449cc744,,753b93a5,ddc9ce5c,6,11,104,14,2,4,3,4,1,2,0.0,0,1,0,0,0,11,11,0,0,0,0,1,0,0,0,0,0,6,0,1,2,1,1,0,1,1,1,0,0,0,0,2,0,0,21,0,6,7,9,1,21,3,1,13,3,0,3,0,1,1,1,0,0,0,2,0,0
Elena Julve,11,,RW,21-284,84,0,0,0,0,0,0,0,0,24,2,2,2,0.0,0.0,0.1,2,0,10,16,3,3,3,87dbd121,,753b93a5,ddc9ce5c,10,16,154,72,6,7,4,5,0,1,0.0,1,1,1,0,3,16,14,0,0,0,0,1,0,0,0,0,0,10,2,1,2,2,1,1,0,0,0,0,2,0,2,4,0,0,24,0,4,12,9,0,24,3,3,14,1,0,0,3,0,1,2,0,0,0,4,0,0
Natalie Muth,12,us USA,RW,24-053,6,0,0,0,0,0,0,0,0,5,1,1,0,0.0,0.0,0.0,0,0,0,3,0,0,0,f7d95aa2,USA,753b93a5,ddc9ce5c,0,3,0,0,0,0,0,2,0,1,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,5,0,3,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilar Garrote,6,,LM,25-100,45,0,0,0,0,0,0,1,0,15,0,0,0,0.0,0.0,0.0,0,0,8,12,0,0,1,db9efbc7,,753b93a5,ddc9ce5c,8,12,161,88,2,5,5,5,1,2,0.0,0,1,0,0,0,12,10,2,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,2,9,5,0,15,1,0,6,1,0,2,0,0,0,0,0,0,0,2,0,0
Esther Martín-Pozuelo,15,,"LB,LM",23-345,45,0,0,0,0,0,0,0,0,26,5,2,0,0.0,0.0,0.0,0,0,10,17,0,0,0,f0b190fd,,753b93a5,ddc9ce5c,10,17,146,99,7,9,3,6,0,1,0.0,0,0,1,1,0,17,10,7,0,0,0,1,7,0,0,0,0,10,0,2,5,1,5,0,0,2,2,0,0,0,0,7,0,0,26,0,16,10,1,0,26,0,0,3,1,0,1,0,0,1,1,0,0,0,2,0,1
Laura Martínez,8,,CM,23-232,89,0,0,0,0,0,0,0,0,33,3,2,0,0.0,0.0,0.0,1,0,11,30,3,1,1,63d6ebea,,753b93a5,ddc9ce5c,11,30,233,126,3,10,5,10,3,8,0.0,0,4,0,0,3,30,27,2,2,0,0,0,0,0,0,0,0,11,1,3,3,2,1,0,2,2,5,3,0,0,0,5,1,0,33,1,9,19,6,0,33,0,0,16,1,0,3,0,0,0,2,0,0,0,5,1,0
Nerea Gantxegi,23,,CM,28-011,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,4c04b752,,753b93a5,ddc9ce5c,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rita Chikwelu,19,ng NGA,RM,34-196,90,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,2,0,11,17,1,0,0,6d5d11eb,NGA,753b93a5,ddc9ce5c,11,17,209,110,6,8,3,4,2,4,0.2,1,2,0,0,1,17,14,2,0,0,0,1,0,1,1,0,0,11,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,20,0,4,12,4,0,20,1,1,13,1,0,4,2,1,1,1,0,0,0,4,2,0
Nuria Garrote,5,,"RB,LB",25-100,90,0,0,0,0,0,0,0,0,42,4,0,0,0.0,0.0,0.0,0,0,18,35,1,2,2,f43010b0,,753b93a5,ddc9ce5c,18,35,419,229,7,12,5,13,6,10,0.0,0,3,0,0,1,35,27,8,2,0,0,3,6,0,0,0,0,18,0,0,4,2,2,1,1,3,4,1,0,0,0,4,2,0,42,2,18,21,5,0,42,0,0,14,2,0,3,1,0,3,2,0,0,0,3,3,0
Sille Struck,16,,CB,23-276,90,0,0,0,0,0,0,0,0,25,0,2,1,0.0,0.0,0.0,0,0,11,19,0,0,0,360a8119,,753b93a5,ddc9ce5c,11,19,330,175,0,0,5,8,6,9,0.0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,25,5,18,8,0,0,25,1,0,13,0,0,1,0,0,0,0,0,0,0,3,2,0
Berta Bou,4,,CB,23-104,90,0,0,0,0,1,0,1,0,31,1,1,1,0.1,0.1,0.0,0,0,12,24,2,0,0,a200616d,,753b93a5,ddc9ce5c,12,24,241,127,3,4,8,11,1,9,0.0,0,1,0,0,2,24,24,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,1,1,0,1,1,0,2,3,0,31,4,23,7,1,1,31,0,0,11,0,0,2,0,0,0,0,0,0,0,6,0,0
Julia Mora,14,,RB,24-339,45,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.0,1,0,13,22,1,0,0,363c5220,,753b93a5,ddc9ce5c,13,22,206,149,8,11,4,9,1,2,0.0,0,0,0,0,1,22,10,12,1,0,0,0,11,0,0,0,0,13,0,1,2,2,1,0,1,2,2,0,0,0,0,2,1,0,29,1,10,10,9,0,29,2,0,5,1,0,0,0,0,0,2,0,0,0,3,0,2
Alba Mellado,9,es ESP,"FW,RB",30-184,45,0,1,0,0,2,0,0,0,12,0,0,0,0.1,0.1,0.3,2,2,6,8,3,0,0,e0a14e54,ESP,753b93a5,ddc9ce5c,6,8,132,94,3,3,1,3,2,2,0.1,1,3,1,0,3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,5,0,12,2,0,10,2,0,1,0,3,0,0,0,0,0,0,0,0
Doris Bačić,24,hr CRO,GK,27-207,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,1,14,23,1,0,0,ae754f28,CRO,753b93a5,ddc9ce5c,14,23,404,348,2,2,6,6,6,15,0.0,0,0,0,0,1,23,13,10,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,23,24,1,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabi Nunes,9,br BRA,FW,25-198,45,0,0,0,0,1,1,1,0,11,0,0,0,0.4,0.4,0.0,0,0,3,4,0,0,2,8ce35340,BRA,89818574,5a55bc4f,3,4,57,3,2,2,0,1,1,1,0.0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,8,3,11,3,2,11,4,0,1,1,2,0,0,0,0,0,1,0,1
Racheal Kundananji,3,zm ZAM,FW,22-113,45,2,0,0,0,3,3,0,0,28,2,1,0,0.3,0.3,0.6,5,2,11,13,4,2,3,32f48f46,ZAM,89818574,5a55bc4f,11,13,197,65,3,4,8,8,0,1,0.8,3,1,2,0,4,13,12,1,0,1,0,0,0,0,0,0,0,11,0,0,2,1,0,1,1,0,1,1,0,0,0,3,0,0,28,0,2,14,13,6,28,6,0,16,7,0,0,1,0,0,1,0,0,0,9,0,0
Lucia Pardo,18,,FW,22-262,73,0,0,0,0,1,0,0,0,29,1,1,0,0.1,0.1,0.4,4,1,10,19,2,1,2,645bf5f7,,89818574,5a55bc4f,10,19,151,62,5,8,5,6,0,1,0.6,1,0,1,0,2,19,19,0,0,0,0,2,0,0,0,0,0,10,0,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0,29,0,2,8,19,5,29,3,1,19,8,0,0,2,0,2,1,1,0,0,3,0,0
Grace Chanda,22,zm ZAM,FW,25-105,17,0,0,0,0,1,1,0,0,13,1,0,0,0.1,0.1,0.0,1,0,6,8,0,0,0,3a794757,ZAM,89818574,5a55bc4f,6,8,90,9,4,4,1,2,1,1,0.0,0,1,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,1,7,5,1,13,2,2,9,2,0,0,0,0,1,0,0,0,0,1,0,0
Karen Araya,8,cl CHI,CM,31-343,45,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.2,2,0,18,28,0,0,0,c464f93a,CHI,89818574,5a55bc4f,18,28,372,195,9,12,4,7,4,7,0.2,2,2,0,0,0,28,24,4,0,0,0,4,0,4,1,3,0,18,0,1,1,1,0,1,0,0,3,3,1,0,1,2,1,0,33,0,16,10,7,0,33,1,0,16,1,0,2,0,0,4,1,0,0,0,5,0,0
Estela Fernández,21,,CM,31-138,45,0,0,0,0,1,1,0,0,28,0,1,1,0.4,0.4,0.5,4,0,19,25,2,1,1,419dbe83,,89818574,5a55bc4f,19,25,311,142,9,10,7,9,2,4,0.3,3,1,0,0,2,25,21,4,0,0,0,3,1,3,2,1,0,19,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,28,1,6,15,8,1,28,0,3,18,2,0,1,0,0,3,0,0,0,0,5,0,0
Florencia Bonsegundo,11,ar ARG,CM,29-072,45,0,0,0,0,1,1,0,0,31,3,0,2,0.0,0.0,0.1,1,0,13,18,2,1,4,6965bcd4,ARG,89818574,5a55bc4f,13,18,239,48,6,8,6,8,1,1,0.1,1,1,0,0,2,18,16,2,1,0,0,2,0,1,0,1,0,13,0,0,3,3,0,2,1,1,4,3,2,0,2,3,0,0,31,0,3,16,12,0,31,4,1,20,3,0,0,2,0,2,3,0,0,0,4,0,0
Aída Esteve,15,,CM,21-196,45,0,1,0,0,2,1,1,0,29,1,0,0,0.2,0.2,0.3,3,1,20,24,5,0,1,e249a101,,89818574,5a55bc4f,20,24,346,192,5,6,11,12,2,4,0.0,2,4,1,0,5,24,23,1,1,0,0,0,0,0,0,0,0,20,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,29,0,2,21,6,2,29,1,1,23,2,0,2,0,0,0,1,0,0,0,3,1,0
Ana González,20,,CM,27-182,90,0,0,0,0,1,0,0,0,58,6,1,2,0.0,0.0,0.0,2,0,36,47,3,0,0,c73de6bc,,89818574,5a55bc4f,36,47,733,236,13,14,18,19,5,7,0.0,0,3,0,0,3,47,42,3,3,0,1,0,0,0,0,0,0,36,2,3,6,5,4,2,0,2,4,2,2,1,1,7,2,0,58,3,14,40,4,0,58,1,0,27,0,0,2,0,0,0,5,0,0,0,7,1,0
Laura Domínguez,7,,WB,25-043,87,0,1,0,0,1,0,0,0,57,3,2,3,0.0,0.0,0.1,4,1,31,41,8,0,3,2f7b026f,,89818574,5a55bc4f,31,41,503,264,17,19,12,16,2,4,0.0,2,4,2,0,8,41,32,9,0,0,0,1,9,0,0,0,0,31,0,2,3,3,1,1,1,1,2,1,3,0,3,5,0,0,57,1,17,19,21,0,57,3,0,25,2,0,1,2,0,1,3,0,0,0,7,1,0
Ruth Álvarez,19,,WB,22-111,3,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,5,0,0,0,a9d8cb9c,,89818574,5a55bc4f,5,5,78,20,2,2,3,3,0,0,0.0,1,0,0,0,0,5,3,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,2,3,1,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Itziar Pinillos,16,,WB,22-003,90,0,0,0,0,0,0,1,0,54,1,0,2,0.0,0.0,0.1,3,0,36,47,3,2,2,fa2ad5a0,,89818574,5a55bc4f,36,47,582,261,22,25,10,14,4,6,0.1,1,3,2,1,3,47,37,10,0,0,0,3,10,0,0,0,0,36,0,1,1,1,1,0,0,0,2,2,2,0,2,1,0,0,54,0,13,26,16,0,54,3,1,32,1,0,1,2,0,3,1,0,0,0,6,0,0
Aldana Cometti,6,ar ARG,CB,26-205,90,0,0,0,0,2,0,0,0,52,3,1,0,0.1,0.1,0.0,2,0,29,42,2,3,4,41ccf1ac,ARG,89818574,5a55bc4f,29,42,584,260,11,11,14,19,4,11,0.0,0,1,0,0,2,42,38,4,4,0,1,0,0,0,0,0,0,29,0,1,3,3,2,1,0,2,3,1,0,0,0,4,2,0,52,6,31,20,3,1,52,0,0,28,0,0,1,1,0,0,3,0,0,0,10,0,0
Lauren,4,br BRA,CB,20-011,90,0,0,0,0,4,0,1,0,59,1,0,1,0.4,0.4,0.0,0,0,39,47,0,0,0,9dde3aba,BRA,89818574,5a55bc4f,39,47,908,450,4,4,26,31,8,11,0.0,0,0,0,0,0,47,45,2,2,0,1,0,0,0,0,0,0,39,0,0,1,1,1,0,0,0,0,0,1,1,0,1,6,0,59,26,46,8,5,5,59,0,0,41,0,0,1,0,0,0,1,0,0,0,5,4,1
Monica Hickmann Alves,5,br BRA,CB,44-173,90,1,0,1,1,1,0,0,0,49,2,6,0,1.2,0.4,0.0,0,0,31,39,3,2,2,fc36eaca,BRA,89818574,5a55bc4f,31,39,637,361,10,11,17,19,4,9,0.0,0,6,0,0,3,39,38,1,1,0,0,0,0,0,0,0,0,31,0,0,2,2,2,0,0,0,2,2,0,0,0,8,1,0,49,2,24,24,3,2,48,0,1,31,0,0,1,0,0,0,2,0,0,0,7,0,0
Paola Ulloa,1,,GK,25-272,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,1,19,19,0,0,0,27c88dfc,,89818574,5a55bc4f,19,19,395,152,8,8,8,8,3,3,0.0,0,0,0,0,0,19,10,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,17,20,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Irina Uribe,7,,FW,24-057,90,1,0,0,0,2,2,0,0,32,1,1,1,0.2,0.2,0.0,0,0,10,18,1,4,5,449cc744,,753b93a5,5a55bc4f,10,18,177,33,5,9,4,5,1,3,0.0,1,0,1,0,1,18,15,3,1,0,1,0,1,1,0,0,0,10,0,0,1,1,0,1,0,0,1,1,1,0,1,2,0,0,32,0,1,19,12,3,32,4,5,16,5,0,1,2,1,0,1,0,0,0,6,0,0
Mari Paz Vilas,10,es ESP,FW,34-235,90,0,0,0,0,3,0,0,0,40,1,0,0,0.2,0.2,0.1,2,0,22,32,1,3,4,b876a4b2,ESP,753b93a5,5a55bc4f,22,32,386,100,7,10,10,12,2,3,0.3,2,3,1,0,1,32,28,3,0,1,1,0,0,0,0,0,0,22,1,2,1,1,0,1,0,0,1,1,0,0,0,1,1,0,40,1,2,22,16,4,40,2,5,31,3,0,0,2,0,0,1,0,0,0,5,0,0
Rita Chikwelu,19,ng NGA,LM,34-202,70,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,14,26,3,0,0,6d5d11eb,NGA,753b93a5,5a55bc4f,14,26,225,68,7,10,5,8,1,6,0.0,0,1,0,0,3,26,25,1,0,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,1,4,15,10,0,29,1,3,18,2,0,3,0,0,0,0,0,0,0,7,0,1
Pilar Garrote,6,,"RM,LM",25-106,20,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,11,14,1,0,0,db9efbc7,,753b93a5,5a55bc4f,11,14,206,46,7,7,1,2,3,3,0.0,0,1,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,15,0,3,9,3,0,15,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0
Alba Mellado,9,es ESP,CM,30-190,59,0,0,0,0,3,0,0,0,28,0,2,1,0.1,0.1,0.0,1,0,10,15,0,0,0,e0a14e54,ESP,753b93a5,5a55bc4f,10,15,142,32,7,9,3,4,0,2,0.0,0,1,0,0,0,15,14,1,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,28,0,1,10,17,3,28,6,0,20,3,0,0,1,0,1,0,0,0,0,1,0,1
Trudi Carter,18,jm JAM,CM,27-310,31,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,0,0,3,10,1,1,2,4cac6cf9,JAM,753b93a5,5a55bc4f,3,10,48,18,1,4,2,4,0,0,0.0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,2,0,0,0,0,0,0,0,2,1,0,15,0,1,12,2,0,15,0,1,10,1,0,0,0,0,0,2,0,0,0,0,0,0
Laura Martínez,8,,CM,23-238,90,0,0,0,0,0,0,0,0,40,5,5,1,0.0,0.0,0.0,1,0,17,25,2,1,1,63d6ebea,,753b93a5,5a55bc4f,17,25,228,68,10,12,6,9,0,3,0.0,0,2,0,0,2,25,23,2,1,0,0,1,1,0,0,0,0,17,0,0,5,4,2,3,0,0,3,3,1,0,1,10,0,0,40,1,11,25,5,0,40,1,0,12,1,0,1,2,0,1,4,0,0,0,12,0,1
Elena Julve,11,,"RM,LM",21-290,90,0,0,0,0,0,0,0,0,33,2,1,2,0.0,0.0,0.0,5,0,16,23,1,4,4,87dbd121,,753b93a5,5a55bc4f,16,23,240,127,10,10,5,8,1,1,0.1,0,1,2,1,1,23,23,0,0,0,0,2,0,0,0,0,0,16,0,2,2,1,1,0,1,2,3,1,2,0,2,3,0,0,33,0,2,17,15,0,33,3,3,22,3,0,1,5,0,2,1,0,0,0,5,0,1
Esther Martín-Pozuelo,15,,LB,23-351,81,0,0,0,0,1,0,0,0,49,0,2,2,0.0,0.0,0.0,1,1,26,36,3,1,1,f0b190fd,,753b93a5,5a55bc4f,26,36,527,331,8,10,14,19,4,6,0.0,0,3,0,0,3,36,20,16,2,0,0,0,14,0,0,0,0,26,0,1,0,0,0,0,0,0,1,1,2,0,2,2,2,0,49,2,18,24,7,0,49,4,0,19,0,0,3,0,0,0,0,0,1,0,3,0,0
Laia Parera,2,,RB,21-015,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,8,9,1,1,1,1f5790d3,,753b93a5,5a55bc4f,8,9,139,115,5,5,2,3,1,1,0.2,0,1,2,1,1,9,7,2,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,7,1,0,9,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0
Sille Struck,16,,CB,23-282,60,0,0,0,0,0,0,0,0,23,1,1,0,0.0,0.0,0.0,1,0,13,17,0,0,0,360a8119,,753b93a5,5a55bc4f,13,17,369,229,2,2,6,6,5,9,0.0,0,1,0,0,0,17,13,4,4,0,0,0,0,0,0,0,0,13,0,0,1,1,1,0,0,1,1,0,0,0,0,2,5,0,23,7,18,5,0,0,23,0,0,7,0,0,1,0,0,0,1,0,0,0,3,0,1
Julia Mora,14,,CB,24-345,30,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,11,13,0,0,0,363c5220,,753b93a5,5a55bc4f,11,13,171,72,4,4,7,9,0,0,0.0,0,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,1,0,0,1,2,1,0,0,0,1,0,0,17,3,13,2,2,2,17,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0
Berta Bou,4,,CB,23-110,70,0,0,0,0,0,0,1,0,32,3,8,0,0.0,0.0,0.0,0,0,13,20,1,0,0,a200616d,,753b93a5,5a55bc4f,13,20,276,153,4,4,6,7,3,8,0.0,0,1,0,0,1,20,18,2,2,0,0,0,0,0,0,0,0,13,0,0,3,3,2,1,0,2,3,1,0,0,0,11,3,0,32,3,25,7,0,0,32,1,1,13,0,0,0,1,0,0,3,0,0,0,3,0,2
Nerea Gantxegi,23,,CB,28-017,20,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,12,14,0,0,0,4c04b752,,753b93a5,5a55bc4f,12,14,237,114,3,3,8,9,1,2,0.0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,11,3,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0
Nuria Garrote,5,,"RB,LB",25-106,90,0,0,0,0,0,0,0,0,66,7,4,3,0.0,0.0,0.0,1,0,32,44,3,2,5,f43010b0,,753b93a5,5a55bc4f,32,44,640,421,10,13,18,21,4,8,0.0,0,2,0,0,3,44,28,15,1,0,1,1,14,0,0,0,0,32,1,2,7,5,6,0,1,5,6,1,3,0,3,11,3,0,66,4,25,29,13,0,66,3,1,20,0,0,0,0,0,1,5,0,0,0,9,1,0
Doris Bačić,24,hr CRO,GK,27-213,90,0,0,0,0,0,0,0,0,40,0,0,2,0.0,0.0,0.0,0,0,23,32,0,0,0,ae754f28,CRO,753b93a5,5a55bc4f,23,32,747,499,2,2,10,10,11,19,0.0,0,1,0,0,0,32,19,13,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,40,38,40,0,0,0,40,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0
Mariah Lee,7,us USA,FW,26-086,63,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,7,12,1,1,1,fb8712fd,USA,27acb0af,8c012533,7,12,174,52,1,5,3,4,3,3,0.0,2,3,0,0,1,12,11,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,10,6,0,16,2,1,12,2,0,0,0,0,1,0,0,0,0,1,0,1
Bárbara López,12,,FW,17-025,27,1,0,0,0,1,1,1,0,7,1,0,0,0.2,0.2,0.0,1,0,2,6,1,0,0,9b2eca77,,27acb0af,8c012533,2,6,28,15,1,1,1,2,0,2,0.0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,4,3,1,7,0,2,6,2,0,1,0,0,0,1,0,0,0,1,0,0
