Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Saray López,,MF,Valencia,18-126,2004,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,33cb59bd,f96ff499,0,0,,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.00,0,0,0,-0.08,0.4,0.0,+0.4,+6.38,0,0,0,0,0,0,0,0,0,0,0
Vicky López,,"MF,FW",Barcelona,16-138,2006,2,1,68,0,0,0,0,0,0,0.1,0.1,0.0,78c237d1,15f49df1,2,0,15.8,0,0.05,-0.1,-0.1,31,37,404,73,0,4,1,0,1,0,0,1,0,0,0,0,1,0,45,0,2,22,21,3,45,1,1,33,2,1,1,3.00,1,0,+1,-2.59,1.1,0.4,+0.7,-1.66,0,0,0,0,0,1,0,0,4,1,0
Ludmila,br BRA,FW,Atlético Madrid,28-010,1994,10,10,818,8,1,1,2,2,0,5.4,3.8,2.4,7fa57813,b56c2667,22,12,15.7,0,0.17,+2.6,+3.2,122,207,1971,397,12,5,15,3,15,3,7,5,7,1,6,7,0,0,336,2,22,110,210,51,334,14,26,235,98,0,,2.00,16,9,+7,+0.25,17.1,6.3,+10.7,+1.32,0,15,17,9,22,7,0,0,41,4,4
Hanna Lundkvist,se SWE,"DF,MF",Atlético Madrid,20-147,2002,9,4,370,0,0,0,0,0,0,0.0,0.0,0.1,37ed9d8f,b56c2667,1,0,23.4,0,0.04,0.0,0.0,146,184,2418,1012,2,8,2,1,8,4,3,1,3,1,2,7,8,0,236,11,84,98,57,4,236,2,7,131,10,5,2,2.22,11,2,+9,+2.33,9.1,2.9,+6.1,+0.87,0,2,3,0,4,5,0,0,21,2,1
Ana Marcos,es ESP,FW,Valencia,22-155,2000,12,10,974,4,0,1,2,1,0,6.1,4.5,0.7,09bbe355,f96ff499,37,13,15.0,1,0.12,-2.1,-1.5,136,206,1902,428,10,5,5,0,11,2,5,4,14,1,13,3,3,0,341,4,23,133,186,57,339,6,11,230,45,2,,1.25,11,12,-1,-1.79,13.8,12.2,+1.7,-0.52,0,17,9,6,2,8,0,0,24,8,25
Cecilia Marcos,,"MF,DF",Real Sociedad,21-038,2001,9,4,359,0,0,0,0,0,0,0.2,0.2,1.0,4592dd7c,c21f25d3,4,0,19.3,0,0.05,-0.2,-0.2,98,136,1596,522,8,8,6,2,7,5,2,0,7,0,7,5,5,0,183,6,40,82,64,9,183,8,12,112,17,5,1,1.89,8,5,+3,-0.25,8.3,4.6,+3.7,+0.36,0,5,4,2,8,6,0,0,31,1,2
Ornella María Vignola,es ESP,"MF,FW",Sevilla,18-072,2004,3,0,30,0,0,0,0,0,0,0.0,0.0,0.3,c5ce2271,215d9026,1,1,29.9,0,0.03,0.0,0.0,9,11,134,43,1,0,2,1,1,0,1,0,0,0,0,0,0,0,16,1,2,6,8,0,16,0,3,12,3,3,6,1.33,1,1,0,+0.09,0.8,1.0,-0.2,-0.98,0,2,0,0,2,0,0,0,2,0,0
Rosa Marquez,es ESP,"FW,MF",Real Betis,21-354,2000,6,6,505,0,1,0,0,1,0,0.2,0.2,0.2,80e183db,74142337,5,3,21.2,0,0.04,-0.2,-0.2,132,160,1657,565,6,10,2,1,11,2,6,3,5,0,5,1,1,0,225,1,24,116,89,6,225,8,19,161,12,0,,0.67,6,13,-7,-0.13,2.6,11.0,-8.4,+0.28,0,2,14,0,4,10,0,0,36,0,6
Andrea Marrero,,DF,UDG Tenerife,26-066,1996,10,10,878,1,0,0,0,1,0,0.4,0.4,0.0,d425eb3b,4c088abe,4,3,10.2,0,0.09,+0.6,+0.6,234,306,5028,1919,1,8,1,0,7,7,0,0,7,5,2,14,47,0,405,75,298,103,9,7,405,1,3,198,1,0,,1.20,9,11,-2,+3.89,9.2,10.2,-1.0,-0.14,0,1,1,0,0,6,0,0,46,13,7
Lucía Marte,do DOM,"DF,MF",Real Betis,25-119,1997,2,1,128,0,0,0,0,0,0,0.0,0.0,0.0,be71f47a,74142337,0,0,,0,,0.0,0.0,32,56,502,221,0,4,1,0,1,1,0,0,0,0,0,2,2,0,68,0,25,27,17,1,68,0,3,44,6,1,1,0.50,1,3,-2,-0.26,0.5,2.9,-2.3,-0.01,0,2,2,0,3,0,0,0,6,1,2
Marina Martí,,"FW,MF",Alhama,26-109,1996,12,12,1017,0,1,0,0,1,0,1.6,1.6,1.1,ffb9b018,e9fecaf2,21,5,17.9,0,0.08,-1.6,-1.6,85,197,1603,423,9,5,11,9,13,4,7,2,10,1,9,4,4,0,308,6,53,111,152,29,308,4,17,167,57,0,,0.25,5,22,-17,+4.21,7.5,18.1,-10.6,+0.78,0,5,6,5,51,8,0,0,62,3,15
Esther Martín-Pozuelo,,DF,Levante Planas,24-064,1998,10,6,609,0,1,0,0,2,0,0.0,0.0,0.3,f0b190fd,753b93a5,1,0,34.5,1,0.02,0.0,0.0,158,252,2790,1651,3,13,3,2,22,17,4,1,8,1,7,12,20,0,328,33,163,121,48,2,328,2,4,93,4,4,1,0.80,8,15,-7,+1.09,5.1,14.3,-9.3,-0.86,0,13,7,0,9,10,1,0,39,3,2
Cristina Martín-Prieto,es ESP,FW,Sevilla,29-272,1993,11,9,823,5,0,0,0,0,0,5.1,5.1,0.1,cf98a5b6,215d9026,32,16,13.6,0,0.16,-0.1,-0.1,82,174,1121,215,2,3,2,0,7,1,3,3,11,3,8,2,13,0,297,15,16,113,172,56,297,7,13,212,52,2,,1.09,15,15,0,+0.54,12.7,11.0,+1.7,-0.69,0,7,12,14,5,4,0,0,17,23,18
Asun Martínez,,"FW,MF",Valencia,20-294,2002,12,8,791,3,1,0,0,0,0,1.4,1.4,0.4,6d0122d9,f96ff499,17,7,20.0,0,0.08,+1.6,+1.6,111,173,1617,416,5,7,3,2,13,5,3,5,8,2,6,4,4,0,295,3,38,120,143,34,295,16,39,189,52,4,,1.25,14,12,+2,+0.54,10.5,9.2,+1.3,-0.19,0,3,20,5,16,6,0,0,47,3,6
Belén Martínez,,"FW,MF",Villarreal,34-017,1988,11,7,588,3,0,0,0,0,0,2.8,2.8,0.3,7e31d872,7a7bef84,21,7,14.1,0,0.14,+0.2,+0.2,77,125,1125,155,7,0,4,2,12,2,6,4,10,1,9,2,3,0,214,3,23,82,111,33,214,1,12,133,25,4,,0.91,6,18,-12,-0.49,5.9,9.3,-3.3,+0.36,0,2,7,10,7,6,0,0,23,5,6
Jessica Martínez,py PAR,"MF,FW",Sevilla,23-180,1999,11,8,606,4,1,1,1,2,0,2.5,1.7,1.2,09e61a3d,215d9026,19,7,22.0,3,0.09,+1.5,+1.3,114,169,1970,620,11,10,11,1,7,2,3,2,9,1,8,3,2,0,256,4,21,120,117,17,255,0,6,163,36,3,,1.09,13,13,0,+0.23,10.4,8.2,+2.2,+0.07,0,14,18,2,17,6,0,0,35,11,6
Laura Martínez,,"MF,DF",Levante Planas,23-316,1999,11,11,908,2,0,0,0,0,0,1.3,1.3,0.8,63d6ebea,753b93a5,14,3,19.8,0,0.10,+0.7,+0.7,187,317,3144,1159,10,18,4,3,23,11,9,3,16,2,14,24,12,0,457,16,111,237,112,16,457,3,11,209,26,0,,0.73,11,25,-14,+0.81,9.5,19.5,-9.9,+0.65,0,16,8,0,16,15,0,0,71,7,9
Laura Martínez,,GK,Alhama,22-020,2000,7,7,630,0,0,0,0,0,0,0.0,0.0,0.0,53b81e13,e9fecaf2,0,0,,0,,0.0,0.0,118,227,4077,3458,0,3,0,0,0,0,0,0,0,0,0,0,10,1,264,239,262,3,0,0,264,0,0,58,0,0,5,0.43,2,15,-13,-0.26,3.5,11.2,-7.6,-0.26,0,0,3,0,0,0,0,1,4,5,0
Lucía Martínez,,"MF,DF",Alhama,21-014,2001,12,9,840,0,1,0,0,1,0,0.3,0.3,0.5,3dbd60d3,e9fecaf2,12,3,31.6,2,0.02,-0.3,-0.3,180,361,4255,1721,4,24,4,1,22,7,15,0,8,3,5,16,19,0,464,40,174,253,43,5,464,2,6,146,1,3,,0.25,3,23,-20,-1.77,6.3,16.9,-10.7,-0.72,0,12,3,0,11,13,0,0,74,12,7
Marta Mascarell,,DF,Valencia,17-100,2005,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,754f111b,f96ff499,0,0,,0,,0.0,0.0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,4,1.00,0,0,0,-0.08,0.1,0.0,+0.1,+2.62,0,0,0,0,0,0,0,0,0,0,0
Lara Mata,,DF,Villarreal,29-296,1993,10,10,900,0,0,0,0,3,0,0.4,0.4,0.0,ecf1f2a5,7a7bef84,4,0,9.5,0,0.11,-0.4,-0.4,146,238,3145,1563,1,15,3,0,15,12,2,1,14,4,10,19,32,1,336,52,205,123,9,5,336,0,0,121,0,0,1,1.00,10,25,-15,+1.50,8.4,15.3,-6.9,-0.40,0,9,4,0,1,12,0,2,45,8,6
Andrea Medina,,DF,Atlético Madrid,18-214,2004,9,4,446,0,0,0,0,2,0,0.1,0.1,0.2,96f3022f,b56c2667,3,0,20.9,0,0.03,-0.1,-0.1,209,286,3538,1561,5,16,9,6,8,6,2,0,6,0,6,19,10,0,352,8,103,151,101,6,352,6,8,197,10,5,2,2.11,4,6,-2,-2.06,8.2,5.6,+2.6,-0.77,0,6,13,0,24,4,0,0,19,10,4
Alba Mellado,es ESP,"MF,FW",Levante Planas,30-268,1992,8,1,223,0,1,0,0,0,0,0.3,0.3,0.3,e0a14e54,753b93a5,9,0,29.8,2,0.03,-0.3,-0.3,38,62,663,227,2,5,1,0,0,0,0,0,1,0,1,2,1,0,86,2,10,43,34,5,86,4,5,65,10,7,2,0.88,6,3,+3,+3.44,4.2,3.8,+0.5,+1.59,0,2,5,3,5,0,0,0,7,1,4
Carmen Menayo,es ESP,DF,Atlético Madrid,24-241,1998,5,5,410,0,0,0,0,1,0,0.0,0.0,0.0,03213ea0,b56c2667,0,0,,0,,0.0,0.0,229,268,5009,1988,0,16,1,0,6,1,4,1,3,3,0,13,8,1,306,24,156,135,16,0,306,3,3,198,0,0,,2.00,9,4,+5,+0.63,8.2,2.4,+5.7,+0.53,0,4,3,0,6,5,0,1,31,5,0
María Méndez,es ESP,DF,Levante,21-245,2001,10,10,900,0,2,0,0,1,0,0.4,0.4,0.6,b44fbd50,0f4738a8,4,0,11.7,0,0.11,-0.4,-0.4,511,610,11277,5270,7,52,5,1,10,5,4,1,4,2,2,12,23,0,668,84,342,319,16,10,668,2,3,447,2,0,1,2.00,27,14,+13,-1.70,19.9,8.8,+11.1,-2.37,0,2,3,0,2,5,0,0,74,15,6
Núria Mendoza,es ESP,DF,Levante,26-361,1995,8,7,638,0,1,0,0,2,0,0.1,0.1,0.2,b110a65a,0f4738a8,2,0,10.8,0,0.06,-0.1,-0.1,472,558,11307,4824,5,48,5,1,11,8,3,0,4,0,4,11,12,0,599,56,316,276,8,2,599,0,0,429,1,1,3,1.75,19,10,+9,-0.52,18.9,5.2,+13.7,+1.69,0,3,1,0,3,6,0,0,57,7,2
Teresa Mérida,,DF,Sevilla,20-147,2002,10,10,890,0,0,0,0,2,1,0.6,0.6,0.0,318ab9c3,215d9026,3,0,7.3,0,0.18,-0.6,-0.6,316,404,6877,2831,0,20,1,0,23,19,4,0,8,6,2,15,24,0,479,58,315,157,12,4,479,3,3,272,0,0,,0.90,13,19,-6,-5.11,14.7,11.1,+3.5,+0.57,0,5,4,0,1,14,0,1,62,4,1
Zala Meršnik,si SVN,GK,Sporting Huelva,21-187,2001,7,7,630,0,0,0,0,0,0,0.0,0.0,0.0,87abcda9,27acb0af,0,0,,0,,0.0,0.0,89,181,3275,2700,1,1,0,0,1,1,0,0,0,0,0,1,4,0,212,195,212,1,0,0,212,0,0,26,0,0,4,1.14,8,13,-5,+0.79,6.1,13.7,-7.6,+0.08,0,0,2,0,0,0,0,0,15,5,0
Silvia Meseguer,es ESP,"DF,MF",Sevilla,33-274,1989,11,11,934,1,1,0,0,4,0,1.3,1.3,0.5,6c9c37a8,215d9026,4,1,9.6,0,0.33,-0.3,-0.3,353,443,7518,3447,2,33,3,0,25,18,7,0,12,7,5,15,22,1,535,54,260,248,27,3,535,4,5,311,2,0,,1.09,18,16,+2,+5.01,14.9,11.3,+3.6,+0.74,0,7,3,0,0,10,1,0,84,6,8
Malena Mieres,,GK,Real Betis,22-257,2000,7,7,630,0,0,0,0,0,0,0.0,0.0,0.0,c655f0b8,74142337,0,0,,0,,0.0,0.0,220,396,6766,5310,0,9,1,0,1,1,0,0,0,0,0,0,12,2,424,284,417,7,0,0,424,0,0,216,0,0,3,1.00,10,17,-7,+0.50,4.9,18.3,-13.4,-0.80,0,0,0,0,0,1,0,0,21,0,1
Irene Miguélez,,DF,Villarreal,18-159,2004,9,7,649,0,0,0,0,0,0,0.1,0.1,0.0,2f3692f0,7a7bef84,1,0,11.8,0,0.09,-0.1,-0.1,106,169,2137,999,0,7,0,0,11,8,3,0,11,6,5,6,21,0,225,26,117,100,10,2,225,0,0,73,0,2,2,1.11,5,18,-13,-0.48,6.4,10.7,-4.2,+0.20,0,2,3,0,0,4,0,0,38,7,5
Ane Miren Martínez,,"MF,FW",Alavés,30-097,1992,11,9,735,1,1,0,0,0,0,0.7,0.7,2.2,f4697c5c,aa11fb42,7,2,20.7,0,0.10,+0.3,+0.3,56,131,948,278,5,4,2,1,9,4,4,1,9,0,9,2,7,0,200,7,34,72,96,22,200,5,12,109,28,2,,0.55,8,26,-18,-0.44,6.1,16.6,-10.5,+0.11,0,4,3,8,30,7,0,0,28,3,1
María Molina,,DF,Valencia,22-216,2000,9,7,598,0,0,0,0,3,0,0.1,0.1,0.1,9488f06e,f96ff499,2,0,12.0,0,0.05,-0.1,-0.1,184,241,3688,1608,1,11,0,0,12,10,2,0,8,4,4,15,20,0,314,60,218,82,17,5,314,4,6,160,1,2,1,1.22,5,8,-3,-1.20,7.2,8.3,-1.1,-0.82,0,8,5,0,2,9,0,1,31,8,5
Leyre Monente,,FW,Athletic Club,22-299,2000,1,0,12,0,0,0,0,1,0,0.0,0.0,0.2,b5375f49,94929c05,0,0,,0,,0.0,0.0,4,5,76,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,1,7,0,0,2,1,1,8,3.00,1,0,+1,+7.96,0.5,0.1,+0.3,+2.88,0,0,0,0,1,0,0,0,1,0,1
Natalia Montilla,,"MF,FW",Real Betis,24-054,1998,9,6,537,2,0,0,0,0,0,0.6,0.6,0.5,36fbc818,74142337,13,6,23.8,0,0.05,+1.4,+1.4,96,148,1763,739,4,11,4,2,18,13,4,1,8,1,7,11,3,0,237,7,67,94,79,11,237,4,17,121,19,3,,0.67,7,13,-6,+0.39,3.8,13.7,-9.9,-0.08,0,2,3,0,7,15,0,0,30,1,3
Julia Mora,,DF,Levante Planas,25-058,1997,7,4,383,0,0,0,0,0,0,0.0,0.0,0.0,363c5220,753b93a5,0,0,,0,,0.0,0.0,149,190,3055,1175,0,7,0,0,10,9,0,1,6,4,2,4,6,0,232,38,149,73,12,2,232,0,1,126,1,3,3,0.71,3,11,-8,-0.69,3.5,8.4,-4.9,-0.19,0,1,3,0,0,6,0,0,24,0,3
Lucía Moral,,"FW,DF",Atlético Madrid,18-303,2004,6,0,63,1,1,0,0,0,0,0.1,0.1,0.4,3d6375b1,b56c2667,3,1,29.5,0,0.02,+0.9,+0.9,15,24,276,100,2,2,1,1,4,1,2,1,3,0,3,0,0,0,35,2,6,11,20,2,35,0,2,25,4,6,5,2.00,5,0,+5,+6.85,1.7,0.8,+0.9,+0.35,0,3,2,0,3,1,0,0,2,1,1
Cosette Morché,us USA,GK,Valencia,25-185,1997,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,ca518a26,f96ff499,0,0,,0,,0.0,0.0,28,35,690,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,40,0,0,0,40,0,0,6,0,0,11,0.00,0,1,-1,-1.18,0.9,1.6,-0.7,-1.01,0,0,0,0,0,0,0,0,0,0,0
Raquel Morcillo,,"FW,MF",Alhama,23-247,1999,10,10,764,0,0,0,0,2,0,0.7,0.7,0.4,58a40d2e,e9fecaf2,10,2,20.3,1,0.07,-0.7,-0.7,98,220,1826,984,6,11,4,2,39,15,17,7,17,2,15,7,12,0,340,11,88,129,129,25,340,7,16,132,28,0,,0.30,3,13,-10,+1.95,5.7,10.5,-4.8,+1.44,0,9,16,4,34,25,0,0,56,8,11
Laura Moreno,,"MF,FW",Real Betis,22-030,2000,4,0,101,0,0,0,0,0,0,0.1,0.1,0.0,8d30cd58,74142337,1,0,15.4,0,0.06,-0.1,-0.1,10,22,159,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,0,5,11,18,6,34,1,3,27,5,4,3,0.75,1,5,-4,-2.65,1.1,3.4,-2.3,-0.49,0,2,4,1,1,0,0,0,5,2,1
Yerliane Moreno,ve VEN,MF,UDG Tenerife,22-059,2000,3,2,152,0,0,0,0,3,0,0.2,0.2,0.0,da8926f8,4c088abe,3,2,22.6,0,0.07,-0.2,-0.2,29,37,485,145,0,3,0,0,3,0,0,3,4,0,4,1,1,0,69,1,3,41,27,2,69,3,6,38,6,1,,1.33,3,1,+2,+1.79,1.7,1.4,+0.3,+0.36,0,7,5,0,0,2,0,0,7,1,2
Carla Morera,,"DF,MF",Alavés,27-269,1995,11,7,649,1,1,0,0,1,0,0.9,0.9,0.3,e953f471,aa11fb42,6,2,20.6,0,0.15,+0.1,+0.1,108,185,1709,761,2,11,3,0,21,8,9,4,7,2,5,2,11,0,267,13,91,113,66,6,267,4,9,130,10,4,,0.55,8,22,-14,+0.43,6.7,16.6,-9.8,-0.14,0,12,10,8,12,16,0,0,37,10,9
Yasmin Mrabet,ma MAR,MF,Levante Planas,23-125,1999,6,6,434,0,0,0,0,1,0,0.2,0.2,0.0,ae715fc6,753b93a5,8,4,25.5,2,0.03,-0.2,-0.2,134,209,2703,796,2,16,1,0,12,4,7,1,5,0,5,2,11,0,273,11,74,161,42,4,273,2,8,161,4,0,1,0.00,2,19,-17,-3.69,3.4,10.4,-7.0,-0.74,0,5,3,0,1,7,0,1,31,14,3
Natalie Muth,us USA,"MF,FW",Levante Planas,24-137,1998,9,3,366,0,0,0,0,2,0,0.1,0.1,0.0,f7d95aa2,753b93a5,4,3,27.0,0,0.02,-0.1,-0.1,51,102,1159,521,1,7,1,0,16,9,6,1,5,0,5,11,9,0,158,20,72,71,16,2,158,0,2,58,3,6,2,0.89,5,10,-5,+0.36,3.7,8.7,-5.0,-0.30,0,6,1,1,0,9,0,0,14,4,6
Caroline Møller,dk DEN,"FW,MF",Real Madrid,23-357,1998,8,1,189,1,0,0,0,1,0,1.1,1.1,0.2,e5cf9043,54582b93,4,1,12.4,0,0.27,-0.1,-0.1,52,78,802,214,2,5,1,0,2,0,1,1,5,1,4,2,0,0,110,3,9,59,43,10,110,2,9,89,8,7,2,2.38,8,2,+6,+0.96,4.2,2.7,+1.5,+0.12,0,4,4,0,3,1,0,0,5,4,3
Ange N'Guessan,ci CIV,FW,UDG Tenerife,32-023,1990,10,7,646,0,0,0,0,0,0,1.4,1.4,0.4,d8e8aa5e,4c088abe,12,5,18.2,0,0.12,-1.4,-1.4,70,110,1053,256,6,4,3,2,5,2,3,0,8,0,8,4,3,0,215,3,13,76,129,28,215,17,26,129,36,3,,1.20,8,7,+1,+1.56,7.4,6.6,+0.8,+0.72,0,9,12,10,11,3,0,0,34,1,5
Adriana Nanclares,es ESP,GK,Real Sociedad,20-216,2002,6,6,540,0,0,0,0,0,0,0.0,0.0,0.0,16417575,c21f25d3,0,0,,0,,0.0,0.0,154,183,3577,2646,0,2,0,0,1,1,0,0,0,0,0,0,8,0,204,182,204,0,0,0,204,0,0,95,0,0,3,1.67,12,7,+5,-0.17,9.8,8.5,+1.4,-1.05,0,0,1,0,0,0,0,0,6,0,1
Sydny Nasello,,"FW,MF",UDG Tenerife,22-241,2000,4,0,113,0,0,0,0,1,0,0.3,0.3,0.0,6786e185,4c088abe,3,0,19.2,0,0.09,-0.3,-0.3,15,21,289,46,1,1,1,0,1,0,0,1,2,0,2,0,1,0,42,1,2,14,27,4,42,5,7,19,6,4,2,1.00,0,2,-2,-1.48,1.9,1.5,+0.5,+0.53,0,2,1,1,0,1,0,0,3,1,2
Eva Navarro,es ESP,FW,Atlético Madrid,21-318,2001,1,0,14,0,0,0,0,0,0,0.0,0.0,0.0,3f05acb3,b56c2667,0,0,,0,,0.0,0.0,2,5,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,2,0,6,0,0,3,0,1,,3.00,1,0,+1,+5.78,0.2,0.0,+0.2,+0.17,0,0,1,0,0,0,0,0,2,0,0
Nerea Nevado,,DF,Athletic Club,21-228,2001,11,11,978,0,2,0,0,0,0,0.2,0.2,1.2,1fe41030,94929c05,3,1,18.9,0,0.08,-0.2,-0.2,462,646,8254,2951,18,25,7,5,28,15,7,6,12,1,11,14,23,1,772,25,298,311,179,4,772,18,30,337,13,0,,1.18,15,20,-5,-7.96,10.7,14.6,-3.9,-2.88,0,15,24,0,71,17,0,0,99,6,4
Morgan Nicoli,fr FRA,DF,Sevilla,25-248,1997,8,3,303,0,0,0,0,0,1,0.1,0.1,0.0,672072df,215d9026,2,1,18.2,0,0.04,-0.1,-0.1,109,154,2620,1502,0,12,0,0,10,8,2,0,7,2,5,6,22,0,200,26,119,73,8,2,200,0,0,112,2,5,1,0.75,7,7,0,+0.13,4.0,4.8,-0.8,-0.79,0,4,0,1,0,6,1,0,16,3,2
Gabi Nunes,br BRA,FW,Madrid CFF,25-276,1997,12,7,610,4,2,0,0,2,0,2.3,2.3,0.7,8ce35340,89818574,22,10,13.6,1,0.10,+1.7,+1.7,109,151,1771,259,9,8,5,1,6,3,3,0,1,0,1,3,7,0,235,7,24,117,95,32,235,4,10,188,36,5,,2.08,12,10,+2,-1.05,8.2,7.5,+0.7,-0.76,0,9,11,9,1,3,0,0,14,18,7
Pierina Núñez,pe PER,"FW,MF",Real Betis,22-273,2000,2,1,82,0,0,0,0,0,0,0.2,0.2,0.1,91c39baa,74142337,2,0,17.8,0,0.08,-0.2,-0.2,9,13,115,0,2,0,0,0,1,0,0,1,2,0,2,0,0,0,25,0,1,8,16,5,25,0,1,20,4,1,6,1.50,2,1,+1,+2.49,1.5,1.5,-0.1,+1.68,0,3,0,1,0,1,0,0,3,1,3
Irene Oguiza,,MF,Athletic Club,22-340,2000,7,4,327,0,0,0,0,2,0,0.2,0.2,0.2,e660b6a5,94929c05,7,1,26.0,0,0.03,-0.2,-0.2,94,165,1645,556,4,14,0,0,4,2,2,0,3,1,2,12,6,0,209,9,52,116,43,8,209,2,3,109,3,3,1,1.43,4,7,-3,-0.69,2.2,5.2,-3.0,-0.76,0,12,8,1,6,3,0,0,29,14,15
Osinachi Ohale,ng NGA,DF,Alavés,30-355,1991,10,8,688,0,0,0,0,1,0,0.0,0.0,0.0,69053d78,aa11fb42,0,0,,0,,0.0,0.0,154,233,3319,1491,1,4,0,0,5,2,3,0,6,2,4,5,33,1,303,67,236,61,7,4,303,0,0,142,2,2,1,0.50,9,27,-18,-0.86,5.6,17.3,-11.7,-0.70,0,4,4,0,1,3,0,1,44,16,6
Patricia Ojeda,,DF,Sporting Huelva,31-278,1991,11,11,990,0,0,0,0,0,0,0.2,0.2,0.1,1dae60f5,27acb0af,6,0,27.2,4,0.04,-0.2,-0.2,160,316,3294,1992,1,14,0,0,11,8,2,1,14,9,5,20,66,1,447,96,289,136,26,3,447,2,4,111,2,0,,1.09,9,20,-11,,8.3,20.6,-12.3,,0,7,9,0,5,9,1,1,68,11,5
Freja Olofsson,se SWE,MF,Real Madrid,24-201,1998,3,2,163,0,0,0,0,0,0,0.0,0.0,0.0,6ce1049b,54582b93,0,0,,0,,0.0,0.0,64,77,1204,250,0,7,0,0,1,1,0,0,0,0,0,4,1,0,88,3,25,55,9,0,88,0,0,55,0,1,7,3.00,2,0,+2,-1.22,2.2,0.8,+1.4,+0.20,0,5,4,0,0,1,0,0,15,1,1
Olivia Oprea,ro ROU,DF,Alhama,35-267,1987,6,4,335,0,0,0,0,1,0,0.1,0.1,0.1,630a783e,e9fecaf2,1,0,21.0,0,0.06,-0.1,-0.1,56,110,1250,841,1,4,1,1,11,8,2,1,6,3,3,11,9,1,153,24,83,57,13,0,153,0,1,30,0,2,2,0.50,1,10,-9,-0.97,2.5,6.4,-3.9,-0.08,0,12,1,0,2,7,1,0,23,4,2
Maite Oroz,es ESP,"MF,FW",Real Madrid,24-261,1998,10,4,465,0,5,0,0,0,0,0.2,0.2,1.4,f4cdd292,54582b93,4,1,21.0,0,0.05,-0.2,-0.2,238,280,3965,1022,9,21,7,1,8,1,5,2,13,2,11,5,0,0,324,5,54,179,95,11,324,7,10,261,29,6,,2.50,19,5,+14,+1.26,10.1,4.9,+5.2,+0.82,0,4,11,0,2,6,0,0,25,3,5
Laura Ortega,,"FW,MF",UDG Tenerife,25-031,1997,4,2,154,0,0,0,0,0,0,0.3,0.3,0.1,583ad7f6,4c088abe,1,0,5.5,0,0.31,-0.3,-0.3,8,17,99,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,28,0,1,11,16,3,28,0,1,23,5,2,4,1.25,1,2,-1,-0.34,1.1,2.5,-1.3,-0.83,0,1,2,1,0,0,0,0,1,2,4
Sara Ortega,,"MF,FW",Athletic Club,17-294,2005,5,3,247,0,0,0,0,0,0,0.1,0.1,0.1,4aefa99f,94929c05,3,1,17.4,0,0.05,-0.1,-0.1,55,86,821,221,2,3,2,1,6,1,2,3,4,0,4,2,2,0,119,1,22,59,38,5,119,2,4,68,9,2,1,1.20,3,2,+1,+0.97,4.1,2.8,+1.4,+1.09,0,2,1,0,7,5,0,0,14,0,4
Asisat Oshoala,ng NGA,FW,Barcelona,28-063,1994,11,6,548,4,0,0,0,0,0,4.4,4.4,1.0,23a1662b,15f49df1,30,12,12.9,0,0.15,-0.4,-0.4,74,106,1174,194,9,3,7,4,3,1,1,1,7,0,7,0,0,0,171,0,3,51,118,53,171,2,5,127,42,5,1,3.00,25,2,+23,+0.06,19.9,2.6,+17.3,+0.75,0,3,1,12,11,1,0,0,12,0,8
Rosa Otermín,,"DF,MF",Sevilla,22-070,2000,8,4,435,0,0,0,0,3,1,0.1,0.1,1.1,a788992d,215d9026,3,0,21.5,1,0.04,-0.1,-0.1,153,226,2933,1506,9,17,7,5,12,8,4,0,6,1,5,8,4,0,277,3,71,125,86,4,277,4,12,108,12,4,2,1.38,6,8,-2,-0.58,7.1,5.6,+1.5,+0.03,1,6,8,1,34,10,0,0,35,1,3
