Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Paulina Dudek,pl POL,DF,Paris S-G,25-178,1997,2,2,143,0,0,0,0,0,0,0.1,0.1,0.1,47e53111,80595417,3,0,21.2,0,0.02,-0.1,-0.1,0,135,2640,1066,1,17,2,0,1,0,1,0,1,0,1,0,4,0,147,8,42,104,3,2,147,0,1,113,0,6,3,0.17,2,4,-2,+0.71,2.9,4.2,-1.3,+1.38,0,2,1,0,0,0,0,0,16,3,2
Julie Dufour,fr FRA,"MF,DF",Bordeaux,21-196,2001,11,10,896,0,3,0,0,2,0,0.7,0.7,2.7,662d8aeb,69dee2b0,11,4,23.1,2,0.06,-0.7,-0.7,0,345,3444,1500,13,12,11,5,13,4,5,4,8,1,7,11,6,0,457,6,105,167,197,18,457,16,45,255,34,4,2,1.56,8,7,+1,-1.29,6.2,5.0,+1.1,-0.58,0,11,9,0,56,7,0,0,80,6,7
Melchie Dumornay,ht HAI,"FW,MF",Stade de Reims,19-116,2003,7,6,540,3,1,0,0,2,0,3.6,3.6,1.7,36a4b421,e3696882,16,6,17.4,2,0.16,+0.4,+0.4,0,205,2170,687,11,10,8,1,6,0,5,1,5,1,4,1,2,0,302,2,13,160,132,31,302,7,15,239,53,1,0,2.60,19,4,+15,+1.00,16.5,3.4,+13.1,+0.11,0,16,17,2,13,3,0,0,22,6,11
Damaris Egurrola,nl NED,MF,Lyon,23-107,1999,6,3,332,1,1,0,0,1,0,0.5,0.5,0.9,69b76db4,7f2012ad,8,2,19.9,0,0.06,+0.5,+0.5,0,290,4609,1399,6,30,5,0,23,8,11,4,5,0,5,15,5,0,357,5,44,226,89,10,357,0,1,231,8,5,3,1.43,3,2,+1,+0.55,3.0,3.6,-0.6,-0.40,0,5,5,0,3,18,0,0,36,14,3
Salomé Elisor,fr FRA,"MF,DF",Le Havre,25-324,1997,8,8,650,2,0,0,0,7,0,0.4,0.4,0.3,89604696,c57b7254,7,3,16.7,0,0.06,+1.6,+1.6,0,265,2902,828,6,19,1,0,26,8,12,6,8,1,7,12,5,0,347,12,74,202,76,9,347,2,5,202,14,1,0,0.00,0,1,-1,-0.13,0.3,0.9,-0.6,-0.35,0,30,5,0,7,19,0,0,58,13,12
Christiane Endler,cl CHI,GK,Lyon,31-141,1991,8,8,720,0,0,0,0,0,0,0.0,0.0,0.0,ebd3c5f6,7f2012ad,0,0,,0,,0.0,0.0,0,218,4866,3186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,223,157,222,1,0,0,223,0,0,123,0,1,0,2.80,22,5,+17,-0.17,17.3,4.3,+12.9,-1.12,0,0,1,0,0,0,0,0,11,0,0
Romane Enguehard,fr FRA,"DF,MF",Le Havre,23-159,1999,10,8,726,0,1,0,0,1,0,0.4,0.4,0.1,59fa05a6,c57b7254,1,0,5.5,0,0.36,-0.4,-0.4,0,359,3737,2400,1,28,3,0,41,25,14,2,13,3,10,20,12,0,466,31,206,197,67,1,466,2,5,159,11,3,0,0.56,6,12,-6,+1.65,4.8,15.0,-10.3,-0.30,0,8,14,0,3,28,0,0,60,3,9
Thelma Eninger,fr FRA,"MF,FW",Stade de Reims,20-353,2001,6,3,274,0,1,0,0,1,0,0.5,0.5,0.5,f8824640,e3696882,5,0,14.2,0,0.08,-0.5,-0.5,0,120,1220,381,8,10,3,1,9,3,5,1,3,0,3,3,3,0,164,2,23,84,59,9,164,0,1,107,12,1,0,1.44,13,13,0,-2.43,11.7,12.7,-1.0,+2.27,0,1,4,1,6,4,0,0,26,1,0
Laurina Fazer,fr FRA,"MF,FW",Paris S-G,19-059,2003,6,4,310,0,0,0,0,1,0,0.1,0.1,0.0,08f6cf52,80595417,4,3,25.5,0,0.04,-0.1,-0.1,0,177,2830,696,1,19,4,0,2,0,2,0,1,0,1,2,0,0,201,0,9,127,70,6,201,6,12,159,15,0,1,3.00,5,1,+4,+1.09,4.1,0.6,+3.5,+0.82,0,5,4,1,2,1,0,0,17,0,1
Hélène Fercocq,fr FRA,MF,Dijon,24-106,1998,9,8,689,0,0,0,0,3,0,0.0,0.0,0.3,434ba0e2,68f9fd31,0,0,,0,,0.0,0.0,0,376,5810,2141,6,30,1,0,22,12,10,0,14,5,9,7,8,0,436,25,154,243,43,1,436,6,12,266,7,1,0,1.36,14,13,+1,+2.02,12.1,10.1,+2.0,+0.95,0,12,5,0,0,14,0,0,68,3,6
